Segmentos;Venda via redes sociais;Gestão das contas pelo app do banco;Participação em comunidades do interesse de meus clientes;Vendas on-line por apps;Home office;Propagandas pagas na internet;Vendas online via site;Parcerias com empresas locais para entregas e vendas em parceria;"Venda direta para os consumidores finais, antes vendia só para
intermediários";Compra de insumos diretamente dos produtores;Nenhuma das medidas citadas.
Academias e atividades físicas;29%;14%;3%;0%;14%;3%;3%;0%;1%;1%;55%
Agronegócio;30%;15%;19%;5%;15%;10%;4%;7%;4%;4%;38%
Artesanato;38%;7%;13%;5%;3%;4%;6%;5%;5%;3%;49%
Beleza;17%;7%;5%;2%;2%;3%;3%;2%;1%;1%;73%
Comércio varejista;40%;13%;9%;8%;7%;7%;7%;3%;3%;2%;41%
Construção civil;16%;13%;6%;3%;8%;6%;4%;4%;2%;2%;61%
Economia Criativa;22%;13%;13%;4%;9%;7%;3%;5%;1%;1%;60%
Educação;24%;15%;14%;5%;24%;8%;10%;1%;1%;0%;47%
Energia;18%;13%;8%;5%;15%;5%;7%;6%;4%;6%;55%
Indústria - outros;25%;22%;12%;8%;8%;9%;7%;2%;8%;2%;53%
Indústria alimentícia;40%;10%;11%;13%;9%;6%;7%;10%;21%;12%;35%
Indústria de base tecnológica;23%;13%;12%;5%;14%;8%;8%;3%;6%;2%;46%
Logística e transporte;7%;8%;4%;2%;3%;3%;1%;2%;1%;1%;79%
Moda;45%;10%;7%;6%;4%;7%;7%;3%;4%;1%;44%
Oficinas e peças automotivas;20%;17%;7%;3%;3%;4%;4%;3%;3%;2%;61%
Pet shops e serviços veterinários;22%;13%;10%;1%;6%;2%;2%;4%;1%;0%;56%
Saúde;25%;15%;14%;5%;14%;7%;6%;4%;2%;3%;49%
Serviços - Outros;35%;26%;26%;9%;19%;4%;10%;12%;0%;0%;45%
Serviços de alimentação;38%;9%;6%;26%;1%;7%;6%;3%;2%;4%;45%
Serviços empresariais;18%;17%;14%;3%;29%;8%;5%;3%;2%;2%;45%
Serviços pessoais;15%;7%;12%;0%;8%;4%;3%;2%;0%;0%;66%
Turismo;16%;10%;5%;3%;12%;4%;4%;2%;1%;1%;66%
